,SEC_CODE,ABBREVIATED_NAME,GICS_SECTOR_CODE,SECTOR_CODE,SECTOR
1089,CVT,COVATA LTD          ,45100000,45,Information Technology
1090,CVV,CARAVEL MINERALS LTD,15104000,15,Materials
1091,CVW,CLEARVIEW WEALTH LTD,40200000,40,Financials
1092,CWC,CHINA WASTE CORP LTD,20200000,20,Industrials
1093,CWE,CARNEGIE WAVE ENERGY,55100000,55,Utilities
1094,CWH,CWH RESOURCES LTD   ,15100000,15,Materials
1095,CWL,CONSOL FINANCIAL HLD,45100000,45,Information Technology
1096,CWN,CROWN RESORTS LTD   ,25300000,25,Consumer Discretionary
1097,CWP,CEDAR WOODS PROP.   ,60100000,60,Real Estate
1098,CWT,CHALLENGER WINETRUST,40402000,40,Financials
1099,CWX,CARAWINE RESOURCES  ,15104000,15,Materials
1100,CWY,CLEANAWAY WASTE LTD ,20200000,20,Industrials
1101,CWZ,CASHWERKZ LIMITED   ,40200000,40,Financials
1102,CX1,CX1 LTD             ,99999999,99,N/A
1103,CXB,COBRE MONTANA NL    ,15104000,15,Materials
1104,CXL,CALIX LIMITED       ,15100000,15,Materials
1105,CXM,CENTREX LIMITED     ,15104000,15,Materials
1106,CXO,CORE LITHIUM        ,15104000,15,Materials
1107,CXU,CAULDRON ENERGY LTD ,10100000,10,Energy
1108,CXX,CRADLE RESOURCES LTD,15104000,15,Materials
1109,CXZ,CONNEXION TELEMATICS,45100000,45,Information Technology
1110,CY5,CYGNUS GOLD LIMITED ,15104000,15,Materials
1111,CYA,CENTURY AUSTRALIA   ,40200000,40,Financials
1112,CYB,CYBG PLC            ,40100000,40,Financials
1113,CYC,CYCLOPHARM LIMITED  ,35100000,35,Health Care
1114,CYG,COVENTRY GROUP      ,20100000,20,Industrials
1115,CYL,CATALYST METALS     ,15104000,15,Materials
1116,CYM,CYPRIUM METALS LTD  ,15104000,15,Materials
1117,CYO,CLARITY OSS LTD     ,45100000,45,Information Technology
1118,CYP,CYNATA THERAPEUTICS ,35200000,35,Health Care
1119,CYQ,CYCLIQ GROUP LTD    ,25200000,25,Consumer Discretionary
1120,CYS,CHRYSALIS RESOURCES ,15104000,15,Materials
1121,CYU,CHINALCO YUNNAN     ,15104000,15,Materials
1122,CYY,COVENTRY RES.       ,15104000,15,Materials
1123,CZA,COAL OF AFRICA LTD  ,10100000,10,Energy
1124,CZI,CASSINI RESOURCES   ,15104000,15,Materials
1125,CZL,CONS ZINC LTD       ,15104000,15,Materials
1126,CZN,CORAZON LTD         ,15104000,15,Materials
1127,CZR,CZR RESOURCES LTD   ,15104000,15,Materials
1128,CZZ,CAPILANO HONEY LTD  ,30200000,30,Consumer Staples
1129,D13,DELAWARE THIRTEEN   ,20100000,20,Industrials
1130,D2O,DUXTON WATER LTD    ,55100000,55,Utilities
1131,DA1,DRIVER AUST FIVE    ,00000000,00,
1132,DAB,UBS DABS            ,99999999,99,N/A
1133,DAE,DRIVER AUS THREE TST,00000000,00,
1134,DAF,DISCOVERY ALASKA LTD,15104000,15,Materials
1135,DAL,DALAROOMETALSLTD    ,15104000,15,Materials
1136,DAM,DRIVER AUST MASTER  ,00000000,00,
1137,DAO,DRIVER AUS ONE TRUST,00000000,00,
1138,DAQ,DRIVER AUS TWO TRUST,00000000,00,
1139,DAS,DRIVER AUST SIX     ,00000000,00,
1140,DAT,DRIVER AUST SEVEN   ,00000000,00,
1141,DAU,DAMPIER GOLD LTD    ,15104000,15,Materials
1142,DAV,DAVENPORT RESOURCES ,15104000,15,Materials
1143,DAZ,DRIVER AU FOUR TRUST,00000000,00,
1144,DBB,BETA ETHI DIV BD ETF,00000000,00,
1145,DBF,DUXTON FARMS LTD    ,30200000,30,Consumer Staples
1146,DBI,DALRYMPLE BAY       ,20300000,20,Industrials
1147,DBN,DNB NOR BOL AS      ,00000000,00,
1148,DBO,DIABLORESOURCES     ,15104000,15,Materials
1149,DC2,DCTWO               ,45100000,45,Information Technology
1150,DCC,DIGITALX LIMITED    ,45100000,45,Information Technology
1151,DCE,MANNINGHAM COMM     , , ,
1152,DCG,DECMIL GROUP LIMITED,20100000,20,Industrials
1153,DCL,DOMACOM LIMITED     ,40200000,40,Financials
1154,DCN,DACIAN GOLD LTD     ,15104000,15,Materials
1155,DCX,DISCOVEX RES LTD    ,15104000,15,Materials
1156,DDB,DYNAMIC GROUP       ,20100000,20,Industrials
1157,DDD,3D RESOURCES LIMITED,15104000,15,Materials
1158,DDF,DEUTSCHE DIVERSIFIED,60100000,60,Real Estate
1159,DDH,DDH DRILL           ,15104000,15,Materials
1160,DDR,DICKER DATA LIMITED ,45200000,45,Information Technology
1161,DDT,DATADOT TECHNOLOGY  ,25100000,25,Consumer Discretionary
1162,DEG,DE GREY MINING      ,15104000,15,Materials
1163,DEL,DELOREAN CORPORATION,55100000,55,Utilities
1164,DEM,DE.MEM LTD          ,55100000,55,Utilities
1165,DES,DESOTO RESOURCES    ,15104000,15,Materials
1166,DET,DEALT LIMITED       ,60100000,60,Real Estate
1167,DEV,DEVEX RESOURCES LTD ,10100000,10,Energy
1168,DEX,DUKE EXPLORATION    ,15104000,15,Materials
1169,DFE,DEFENSIVE BASKET W  ,00000000,00,
1170,DFM,DONGFANG MODERN AG  ,30200000,30,Consumer Staples
1171,DGA,DIGGA MINING FUND   ,00000000,00,
1172,DGF,DOWNER GROUP FINANCE,00000000,00,
1173,DGG,BETA ETHI DIV GR ETF,00000000,00,
1174,DGH,DESANE GROUP HLDINGS,60100000,60,Real Estate
1175,DGL,DGL GROUP LIMITED   ,15100000,15,Materials
1176,DGO,DGO GOLD LIMITED    ,15104000,15,Materials
1177,DGR,DGR GLOBAL LTD      ,15104000,15,Materials
1178,DGX,DIPLOMA GROUP LTD   ,20100000,20,Industrials
1179,DHA,DOMAIN HOLDINGS AUST,99999999,99,N/A
1180,DHG,DOMAIN HOLDINGS AUS ,50200000,50,Communication Services
1181,DHH,BETA DIV ALL GRO ETF,00000000,00,
1182,DHO,DAINTREE HYBD OPPP  ,00000000,00,
1183,DHR,DARK HORSE RESOURCES,15104000,15,Materials
1184,DIG,GLOBAL DIG MINERS AC,00000000,00,
1185,DIR,DIRECT NICKEL LTD   ,50100000,50,Communication Services
1186,DIS,DISCOVERY RES LTD   ,15104000,15,Materials
1187,DIT,DEUTSCHE INDUSTRIAL ,60100000,60,Real Estate
1188,DIV,UBS IQ MSTAR AUS DIV,00000000,00,
1189,DJR,SPDR DJ GBL REIT ESG,00000000,00,
1190,DJS,DAVID JONES LIMITED ,25500000,25,Consumer Discretionary
1191,DJU,ISHARES DJ US ETF   ,99999999,99,N/A
1192,DJW,DJERRIWARRH         ,00000000,00,
1193,DJX,DJIA MINI E-CBOT    ,99999999,99,N/A
1194,DKM,DUKETON MINING      ,15104000,15,Materials
1195,DKO,DAKOTA MINERALS LTD ,15104000,15,Materials
1196,DLC,DELECTA LIMITED     ,25500000,25,Consumer Discretionary
1197,DLE,DRAGON ENERGY       ,15104000,15,Materials
1198,DLM,DOMINION MINERALS   ,35200000,35,Health Care
1199,DLS,DRILLSEARCH ENERGY  ,10100000,10,Energy
1200,DLT,DELTA DRONE INTL LTD,45200000,45,Information Technology
1201,DLX,DULUXGROUP LIMITED  ,15100000,15,Materials
1202,DM1,DESERT METALS       ,15104000,15,Materials
1203,DMA,DYNASTY RESOURCES   ,15104000,15,Materials
1204,DMC,DESIGN MILK CO LTD  ,25500000,25,Consumer Discretionary
1205,DME,DOME GOLD MINES LTD ,15104000,15,Materials
1206,DMG,DRAGON MOUNTAIN GOLD,15104000,15,Materials
1207,DMI,DEMPSEY MINERALS    ,15104000,15,Materials
1208,DMK,AMPCAP DYNAMIC MKTHF,00000000,00,
1209,DML,DISCOVERY METALS LTD,15104000,15,Materials
1210,DMM,DMCMININGLIMITED    ,15104000,15,Materials
1211,DMP,DOMINO PIZZA ENTERPR,25300000,25,Consumer Discretionary
1212,DMY,DMY CAPITAL LTD     ,30200000,30,Consumer Staples
1213,DN8,DREAMSCAPE NETWK LTD,45100000,45,Information Technology
1214,DNA,DONACO INTERNATIONAL,25300000,25,Consumer Discretionary
1215,DNK,DANAKALI LIMITED    ,15100000,15,Materials
1216,DOC,DOCTOR CARE ANYWHERE,35100000,35,Health Care
1217,DOR,DORIEMUS PLC        ,10100000,10,Energy
1218,DOT,DEUTSCHE OFFICE     ,60100000,60,Real Estate
1219,DOU,DOUUGH LIMITED      ,50100000,50,Communication Services
1220,DOW,DOWNER EDI LIMITED  ,20200000,20,Industrials
1221,DRA,DRA GLOBAL LIMITED  ,20100000,20,Industrials
1222,DRE,DREDNOUGHT RESOURCES,15104000,15,Materials
1223,DRF,DRAGONFLYBIOSCIENCES,30300000,30,Consumer Staples
1224,DRG,DRAIG RESOURCES LTD ,15104000,15,Materials
1225,DRI,BETA ELECTRIC V ETF ,00000000,00,
1226,DRK,DRAKE RESOURCES     ,15104000,15,Materials
1227,DRM,DEMETALLICALIMITED  ,15104000,15,Materials
1228,DRO,DRONESHIELD LIMITED ,20100000,20,Industrials
1229,DRR,DETERRA             ,15104000,15,Materials
1230,DRU,BETA GLOBAL HEALTH  ,00000000,00,
1231,DRX,DIATREME RESOURCES  ,15104000,15,Materials
1232,DSB,DELTA SBD LIMITED   ,15104000,15,Materials
1233,DSC,DALTON STREET (EQT) ,00000000,00,
1234,DSE,DROPSUITE LTD       ,45100000,45,Information Technology
1235,DSH,DSHE HOLDINGS LTD   ,25500000,25,Consumer Discretionary
1236,DSK,DUSK GROUP          ,25500000,25,Consumer Discretionary
1237,DSX,DECIMAL SOFTWARE LTD,45100000,45,Information Technology
1238,DTC,DAMSTRA HOLDINGS    ,45100000,45,Information Technology
1239,DTI,DTI GROUP LTD       ,45200000,45,Information Technology
1240,DTL,DATA#3 LIMITED      ,45100000,45,Information Technology
1241,DTM,DART MINING NL      ,15104000,15,Materials
1242,DTR,DATELINE RESOURCES  ,15104000,15,Materials
1243,DTS,DRAGONTAIL SYSTEMS  ,45100000,45,Information Technology
1244,DTX,DATETIX GROUP LTD   ,45100000,45,Information Technology
1245,DTZ,DOTZ NANO LTD       ,45300000,45,Information Technology
1246,DUB,DUBBER CORP LTD     ,45100000,45,Information Technology
1247,DUE,DUET GROUP          ,55100000,55,Utilities
1248,DUG,DUG TECH            ,45100000,45,Information Technology
1249,DUI,DIVERSIFIED UNITED  ,00000000,00,
1250,DUN,DUNDASMINERALS      ,15104000,15,Materials
1251,DUO,DOURADO RES LTD     ,15104000,15,Materials
1252,DUR,DURATEC             ,20100000,20,Industrials
1253,DVA,DIVERSA LIMITED     ,40200000,40,Financials
1254,DVD,VANECK MOAT INCOME  ,00000000,00,
1255,DVI,DISRUPTIVE INV GROUP,25300000,25,Consumer Discretionary
1256,DVL,DORSAVI LTD         ,35200000,35,Health Care
1257,DVN,DEVINE LIMITED      ,60100000,60,Real Estate
1258,DVP,DEVELOP GLOBAL LTD  ,15104000,15,Materials
1259,DVR,DIVERGER LIMITED    ,40200000,40,Financials
1260,DW8,DW8 LIMITED         ,25500000,25,Consumer Discretionary
1261,DWS,DWS LTD             ,45100000,45,Information Technology
1262,DWY,NSX.DWY             ,99999999,99,N/A
1263,DX8,DXS DUMMY TORESS    ,99999999,99,N/A
1264,DXA,CAISSEFRANCAISE     ,00000000,00,
1265,DXB,DIMERIX LTD         ,35200000,35,Health Care
1266,DXC,DEXUS CONV RET REIT ,60101000,60,Real Estate
1267,DXF,DING SHENG XIN LTD  ,40200000,40,Financials
1268,DXI,DEXUS INDUSTRIA REIT,60101000,60,Real Estate
1269,DXN,DXN LIMITED         ,45100000,45,Information Technology
1270,DXS,DEXUS               ,60101000,60,Real Estate
1271,DYE,DYESOL LIMITED      ,45300000,45,Information Technology
1272,DYL,DEEP YELLOW LIMITED ,10100000,10,Energy
1273,DYM,DYNAMICMETALSLIMITED,15104000,15,Materials
1274,DZZ,BETA ETHI DIV HG ETF,00000000,00,
1275,E20,STATESTREETE200     ,00000000,00,
1276,E25,ELEMENT 25 LTD      ,15104000,15,Materials
1277,E2E,EON NRG LTD         ,10100000,10,Energy
1278,E2M,E2 METALS           ,15104000,15,Materials
1279,E33,EAST 33 LIMITED..   ,30200000,30,Consumer Staples
1280,E3S,E3SIXTY             ,15104000,15,Materials
1281,E72,EAST 72 HOLDINGS    ,99999999,99,N/A
1282,E79,E79GOLDMINESLIMITED ,15104000,15,Materials
1283,E88,ENSOGO LIMITED      ,00000000,00,
1284,EAF,EVANSPARTNERSASIAFND,00000000,00,
1285,EAG,EAGLE IG LIMITED    ,00000000,00,
1286,EAI,ELLERSTON ASIAN     ,00000000,00,
1287,EAL,E & A LIMITED       ,20100000,20,Industrials
1288,EAP,EVANS AND PARTNER   ,00000000,00,
1289,EAR,ECHO RESOURCES      ,15104000,15,Materials
1290,EAS,EASTON INVESTMENTS  ,40200000,40,Financials
1291,EAX,ENERGY ACTION LTD   ,20200000,20,Industrials
1292,EBG,EUMUNDI GROUP LTD   ,25300000,25,Consumer Discretionary
1293,EBN,VANECK EM INCOME OPP,00000000,00,
1294,EBO,EBOS GROUP LTD      ,35100000,35,Health Care
1295,EBR,EBR SYSTEMS         ,35100000,35,Health Care
1296,EBT,GLB X MGT (AUS) LTD ,00000000,00,
1297,ECA,EINVEST CASH BOOSTER,00000000,00,
1298,ECF,ELANOR COMM PROP    ,60101000,60,Real Estate
1299,ECG,ECARGO HLDG         ,20200000,20,Industrials
1300,ECL,EXCELSIOR CAPITAL   ,20100000,20,Industrials
1301,ECO,EINVEST CORE INCOME ,00000000,00,
1302,ECP,ECP EMERGING GROWTH ,00000000,00,
1303,ECS,ECS BOTANICS HOLDING,35200000,35,Health Care
1304,ECT,ENV CLEAN TECH LTD. ,20200000,20,Industrials
1305,ECV,ECOSAVE HOLDINGS LTD,20200000,20,Industrials
1306,ECX,ECLIPX GROUP LTD    ,40200000,40,Financials
1307,ED1,EVANS DIXON         ,40200000,40,Financials
1308,EDC,EILDON CAPITAL GROUP,40200000,40,Financials
1309,EDE,EDEN INV LTD        ,10100000,10,Energy
1310,EDO,BETADIGHEALTHETF    ,00000000,00,
1311,EDU,EDU HOLDINGS LIMITED,25300000,25,Consumer Discretionary
1312,EDV,ENDEAVOUR           ,30100000,30,Consumer Staples
1313,EEG,EMPIRE ENERGY LTD   ,10100000,10,Energy
1314,EEL,ENRG ELEMENTS LTD   ,15104000,15,Materials
1315,EER,EAST ENERGY RESOURCE,10100000,10,Energy
1316,EES,ISHARES EM ESG ETF  ,00000000,00,
1317,EET,GLB X MGT (AUS) LTD.,00000000,00,
1318,EEU,BETASHARES EURO ETF ,00000000,00,
1319,EFE,EASTERN RESOURCES   ,15104000,15,Materials
1320,EFF,E&P AUS FLAGSHIP    ,00000000,00,
1321,EGA,EGAN STREET RES LTD ,15104000,15,Materials
1322,EGD,E&P GBL DISRUPTION  ,00000000,00,
1323,EGF,EVANS & PARTNERS    ,00000000,00,
1324,EGG,ENERO GROUP LTD     ,50200000,50,Communication Services
1325,EGH,EUREKA GROUP LTD    ,60100000,60,Real Estate
1326,EGI,ELLERSTON GLOBAL INV,00000000,00,
1327,EGL,ENVIRONMENTAL GROUP ,20100000,20,Industrials
1328,EGN,ENGENCO LIMITED     ,20100000,20,Industrials
1329,EGO,EMPIRE OIL & GAS    ,10100000,10,Energy
1330,EGP,ECHO ENTERTAINMENT  ,25300000,25,Consumer Discretionary
1331,EGR,ECOGRAF LIMITED     ,15104000,15,Materials
1332,EGS,EASTERN GOLDFIELDS  ,15104000,15,Materials
1333,EGY,ENERGY TECH LTD     ,20100000,20,Industrials
1334,EHE,ESTIA HEALTH LTD    ,35100000,35,Health Care
1335,EHF,ELSTREE HYBRID FUND ,00000000,00,
1336,EHH,EAGLE HLTH HLDGS LTD,30300000,30,Consumer Staples
1337,EHL,EMECO HOLDINGS      ,20100000,20,Industrials
1338,EHX,EHR RESOURCES       ,15104000,15,Materials
1339,EIC,NSX.EIC             ,99999999,99,N/A
1340,EIG,EINVEST INCOME      ,00000000,00,
1341,EIN,BETAMC EQUITY INCOME,00000000,00,
1342,EIQ,ECHOIQ LTD          ,45100000,45,Information Technology
1343,EL8,ELEVATE URANIUM LTD ,10100000,10,Energy
1344,ELD,ELDERS LIMITED      ,30200000,30,Consumer Staples
1345,ELE,ELMORE LTD          ,15104000,15,Materials
1346,ELK,ELK PETROLEUM       ,10100000,10,Energy
1347,ELM,ELEMENTAL MINERALS  ,15104000,15,Materials
1348,ELO,ELMO SOFTWARE       ,45100000,45,Information Technology
1349,ELR,ELSMORE RESOURCE LTD,15104000,15,Materials
1350,ELS,ELSIGHT LTD         ,45200000,45,Information Technology
1351,ELT,ELEMENTOS LIMITED   ,15104000,15,Materials
1352,ELX,ELLEX MEDICAL LASERS,35100000,35,Health Care
1353,EM1,EMERGE GAMING LTD   ,50200000,50,Communication Services
1354,EM2,EAGLE MOUNTAIN      ,15104000,15,Materials
1355,EMA,EINVEST INCOME MAX  ,00000000,00,
1356,EMB,EMBELTON LIMITED    ,20100000,20,Industrials
1357,EMC,EVEREST METALS CORP ,10100000,10,Energy
1358,EMD,EMYRIA LIMITED      ,35100000,35,Health Care
1359,EME,ENERGY METALS LTD   ,10100000,10,Energy
1360,EMF,EMERGING MASTER FUND,00000000,00,
1361,EMG,EMERGENT RESOURCES  ,15104000,15,Materials
1362,EMH,EUROPEAN METALS HLDG,15104000,15,Materials
1363,EMI,EMIRATES NBD PJSC   ,00000000,00,
1364,EMK,VANECK EMERGING MKT ,00000000,00,
1365,EML,EML PAYMENTS LTD    ,45100000,45,Information Technology
1366,EMM,BETA MC EM FUND     ,00000000,00,
1367,EMN,EUROMANGANESE       ,15104000,15,Materials
1368,EMP,EMPEROR ENERGY LTD  ,10100000,10,Energy
1369,EMR,EMERALD RES NL      ,15104000,15,Materials
1370,EMS,EASTERN METALS      ,15104000,15,Materials
1371,EMT,EMETALS LIMITED     ,00000000,00,
1372,EMU,EMU NL              ,15104000,15,Materials
1373,EMV,EMVISION MEDICAL    ,35100000,35,Health Care
1374,EMX,ENERGIA MINERALS LTD,10100000,10,Energy
1375,EN1,ENGAGE:BDR LIMITED  ,50200000,50,Communication Services
1376,ENA,ENSURANCE LTD       ,40300000,40,Financials
1377,ENB,ENEABBA GAS LIMITED ,55100000,55,Utilities
1378,ENC,ENICE HOLDING CO    ,50100000,50,Communication Services
1379,ENE,ENEVIS LTD          ,20100000,20,Industrials
1380,ENH,ENHANCED YIELD BSK  ,00000000,00,
1381,ENL,EAGLE NICKEL LTD    ,15104000,15,Materials
1382,ENN,ELANOR INVESTORS GRP,25300000,25,Consumer Discretionary
1383,ENR,ENCOUNTER RESOURCES ,15104000,15,Materials
1384,ENT,ENTERPRISE METALS   ,15104000,15,Materials
1385,ENU,ENTERPRISE URANIUM  ,10100000,10,Energy
1386,ENV,ENOVA MINING LIMITED,15104000,15,Materials
1387,ENX,ENEGEX LIMITED      ,15104000,15,Materials
1388,ENY,AII200ENERGY        ,00000000,00,
1389,ENZ,ENZUMO LIMITED      ,45100000,45,Information Technology
1390,EOF,ECOFIBRE LIMITED    ,35200000,35,Health Care
1391,EOL,ENERGY ONE LIMITED  ,45100000,45,Information Technology
1392,EOR,EOR GROUP LIMITED   ,10100000,10,Energy
1393,EOS,ELECTRO OPTIC SYS.  ,20100000,20,Industrials
1394,EP1,E&P FINANCIAL GROUP ,40200000,40,Financials
1395,EPA,EPHRAIM RES LTD     ,30200000,30,Consumer Staples
1396,EPD,EMPIRED LTD         ,45100000,45,Information Technology
1397,EPM,ECLIPSE METALS      ,10100000,10,Energy
1398,EPN,EPSILON HEALTHCARE  ,35200000,35,Health Care
1399,EPT,EPAT TECHNOLOGIES   ,35100000,35,Health Care
1400,EPW,ERM POWER LIMITED   ,55100000,55,Utilities
1401,EPX,EPT GLOBAL LIMITED  ,45100000,45,Information Technology
1402,EPY,EARLYPAY LTD        ,40200000,40,Financials
1403,EQE,EQUUS MINING LTD    ,15104000,15,Materials
1404,EQN,EQUINOXRESOURCES    ,15104000,15,Materials
1405,EQR,EQ RESOURCES LIMITED,15104000,15,Materials
1406,EQS,EQUITYSTORYGROUPLTD ,40200000,40,Financials
1407,EQT,EQUITY HL           ,40200000,40,Financials
1408,EQU,EQUATOR RESOURCES   ,15104000,15,Materials
1409,EQX,EQUATORIAL RES LTD  ,15104000,15,Materials
1410,EQY,EQUITY TRUSTEES LTD ,00000000,00,
1411,ERA,ENERGY RESOURCES    ,10100000,10,Energy
1412,ERD,EROAD LIMITED       ,45200000,45,Information Technology
1413,ERF,ELANORETL PROPERTY  ,60101000,60,Real Estate
1414,ERG,ENECO REFRESH LTD   ,30200000,30,Consumer Staples
1415,ERI,ERIN RESOURCES LTD  ,15104000,15,Materials
1416,ERJ,ENERJI LTD          ,55100000,55,Utilities
1417,ERL,EMPIRE RESOURCES    ,15104000,15,Materials
1418,ERM,EMMERSON RESOURCES  ,15104000,15,Materials
1419,ERR,ENVERRO LTD         ,45100000,45,Information Technology
1420,ERT,BETAERTHOPPETF      ,00000000,00,
1421,ERW,ERRAWARRA RESOURCES ,15104000,15,Materials
1422,ERX,EXORE RESOURCES LTD ,15104000,15,Materials
1423,ESC,NSX.ESC             ,00000000,00,
1424,ESE,ESENSE-LAB LTD      ,35200000,35,Health Care
1425,ESG,VANECK ESG INTERNATL,00000000,00,
1426,ESH,ESPORTS MOGUL LTD   ,50200000,50,Communication Services
1427,ESI,ENV CLEAN TECH LTD  ,20200000,20,Industrials
1428,ESK,ETHERSTACK PLC      ,45100000,45,Information Technology
1429,ESL,ECO SYSTEMS LTD     ,60100000,60,Real Estate
1430,ESM,ESPERANCE MINERALS  ,15104000,15,Materials
1431,ESP,VANECK VIDEO GAMING ,00000000,00,
1432,ESR,ESTRELLA RES LTD    ,15104000,15,Materials
1433,ESS,ESSENTIAL METALS LTD,15104000,15,Materials
1434,EST,GLBXEUROSTOXX50     ,00000000,00,
1435,ESV,ESERVGLOBAL LIMITED ,45100000,45,Information Technology
1436,ET3,PERPETUAL           ,00000000,00,
1437,ETE,ENTEK ENERGY LTD    ,10100000,10,Energy
1438,ETF,UBS IQ MSTAR AUS    ,00000000,00,
1439,ETG,EDTRIN GRP LTD      ,00000000,00,
1440,ETH,BETASUSTAINABILITY  ,00000000,00,
1441,ETK,EDEN HEALTH INDUSTRY,99999999,99,N/A
1442,ETM,ENERGY TRANSITION   ,15104000,15,Materials
1443,ETP,GBLX METALS         ,00000000,00,
1444,ETR,ENTYR LIMITED       ,20200000,20,Industrials
1445,ETS,EXCHANGE TRADED SEC ,99999999,99,N/A
1446,ETT,EAST 33 LIMITED.    ,30200000,30,Consumer Staples
1447,EUC,EUROPEAN COBALT LTD ,15104000,15,Materials
1448,EUG,EUROGOLD LIMITED    ,15104000,15,Materials
1449,EUM,EUMERALLA RESOURCES ,15104000,15,Materials
1450,EUR,EUROPEAN LITHIUM LTD,15104000,15,Materials
1451,EUZ,EUROPA METALS LTD   ,15104000,15,Materials
1452,EV1,EVOLUTIONENERGY     ,15104000,15,Materials
1453,EVE,EVE HEALTH GROUP LTD,40200000,40,Financials
1454,EVG,EVION GROUP NL      ,15104000,15,Materials
1455,EVM,ENVIROMISSION LTD   ,55100000,55,Utilities
1456,EVN,EVOLUTION MINING LTD,15104000,15,Materials
1457,EVO,EMBARK EDUCATION LTD,25300000,25,Consumer Discretionary
1458,EVR,EV RESOURCES LTD    ,15104000,15,Materials
1459,EVS,ENVIROSUITE LTD     ,45100000,45,Information Technology
1460,EVT,EVT LIMITED         ,50200000,50,Communication Services
1461,EVZ,EVZ LIMITED         ,20100000,20,Industrials
1462,EWC,ENERGY WORLD CORPOR.,55100000,55,Utilities
1463,EWE,EAST WEST ENERGY LTD,10100000,10,Energy
1464,EX1,EXOPHARM LIMITED    ,35200000,35,Health Care
1465,EX2,BETAAUSEX20         ,00000000,00,
1466,EXC,EXTERRA RES LTD     ,15104000,15,Materials
1467,EXE,EXOMA ENERGY LIMITED,10100000,10,Energy
1468,EXG,EXCELSIOR GOLD LTD  ,15104000,15,Materials
1469,EXL,ELIXINOL WELLNESS   ,30300000,30,Consumer Staples
1470,EXM,EXCALIBUR MINING    ,15104000,15,Materials
1471,EXO,ENNOX GROUP LTD     ,40200000,40,Financials
1472,EXP,EXPERIENCE CO LTD   ,25300000,25,Consumer Discretionary
1473,EXR,ELIXIR ENERGY LTD   ,10100000,10,Energy
1474,EXU,EXPLAURUM LTD       ,15104000,15,Materials
1475,EXX,EXPOSE RESOURCES    ,15104000,15,Materials
1476,EYE,NOVA EYE MEDICAL LTD,35100000,35,Health Care
1477,EYM,ELYSIUM RESOURCES   ,15104000,15,Materials
1478,EZA,EZA CORP LTD        ,20200000,20,Industrials
1479,EZL,EUROZ HARTLEYS GROUP,40200000,40,Financials
1480,EZZ,EZZ LIFE SCIENCE    ,25500000,25,Consumer Discretionary
1481,F10,BETASHARES FTSE 100 ,00000000,00,
1482,FA1,FLEXI ABS TRUST 2019,00000000,00,
1483,FA2,FIRST ABU DHABI BANK,00000000,00,
1484,FAI,BETAAUSUSTAINABILITY,00000000,00,
1485,FAL,FALCONMETALSLTD     ,15104000,15,Materials
1486,FAM,FAMILY INSIGHTS     ,45100000,45,Information Technology
1487,FAN,GBLX FANG+          ,00000000,00,
1488,FAR,FAR LTD             ,10100000,10,Energy
1489,FAS,FAIRSTAR RESOURCES  ,15104000,15,Materials
1490,FAT,FT PT HEDGE FUND    ,00000000,00,
1491,FAU,FIRST AU LTD        ,15104000,15,Materials
1492,FBK,FACEBOOK INC NASDAQ ,99999999,99,N/A
1493,FBR,FBR LTD             ,20100000,20,Industrials
1494,FBU,FLETCHER BUILDING   ,15100000,15,Materials
1495,FCA,AGRINURTURE INC.    ,99999999,99,N/A
1496,FCC,FIRST COBALT CORP.  ,15104000,15,Materials
1497,FCF,Fremantle Community , , ,
1498,FCG,FRONTIER CAPITAL GRP,25300000,25,Consumer Discretionary
1499,FCL,FINEOS CORP HOLD PLC,45100000,45,Information Technology
1500,FCN,FALCON MINERALS LTD ,15104000,15,Materials
1501,FCR,FERRUM CRESCENT LTD ,15104000,15,Materials
1502,FCT,FIRSTWAVE CLOUD TECH,45100000,45,Information Technology
1503,FDC,FEDERATION CNTRES   ,40402000,40,Financials
1504,FDE,FIL FDEM            ,00000000,00,
1505,FDI,VANECK FRANKED DIV  ,00000000,00,
1506,FDM,FREEDOM OIL GAS     ,10100000,10,Energy
1507,FDR,FINDER              ,10100000,10,Energy
1508,FDV,FRONTIER DIGITAL LTD,50200000,50,Communication Services
1509,FDX,FRONTIER DIAMONDS   ,15104000,15,Materials
1510,FE8,FASTER ENTERPRISES  ,60100000,60,Real Estate
1511,FEC,WARAKIRRI F         ,99999999,99,N/A
1512,FEG,FAR EAST GOLD       ,15104000,15,Materials
1513,FEI,FE INV GROUP LTD    ,40200000,40,Financials
1514,FEJ,CURRENCY W EUR/JPY  ,99999999,99,N/A
1515,FEL,FE LIMITED          ,15104000,15,Materials
1516,FEM,FIDELITY GEM        ,00000000,00,
1517,FEP,FAIRVW EQTY PARTNRS ,00000000,00,
1518,FET,FOLKESTONE EDU TRUST,60101000,60,Real Estate
1519,FEU,CURRENCY W EUR/USD  ,99999999,99,N/A
1520,FEX,FENIX RESOURCES LTD ,15104000,15,Materials
1521,FFC,FARMAFORCE LTD      ,35100000,35,Health Care
1522,FFF,FORBIDDEN FOODS     ,30200000,30,Consumer Staples
1523,FFG,FATFISH GROUP       ,40200000,40,Financials
1524,FFI,F.F.I. HOLDINGS     ,30200000,30,Consumer Staples
1525,FFL,FOUNDERS            ,30200000,30,Consumer Staples
1526,FFR,FIREFLY RESOURCES   ,15104000,15,Materials
1527,FFT,FUTURE FIRST TECH   ,20200000,20,Industrials
