,SEC_CODE,ABBREVIATED_NAME,GICS_SECTOR_CODE,SECTOR_CODE,SECTOR
546,AZT,AZURE HEALTH TECH   ,45100000,45,Information Technology
547,AZV,AZURE HEALTHCARE LTD,35100000,35,Health Care
548,AZY,ANTIPA MINERALS LTD ,15104000,15,Materials
549,AZZ,ANTARES ENERGY LTD  ,10100000,10,Energy
550,B01,BANCO SANTANDER S.A.,00000000,00,
551,B2Y,BOUNTY MINING       ,15104000,15,Materials
552,B3L,BEAVER ENTECH LTD   ,00000000,00,
553,B4P,BEFOREPAY GROUP     ,40200000,40,Financials
554,BA1,BOA                 ,99999999,99,N/A
555,BA2,SERIES 2019-1 REDS  ,00000000,00,
556,BAE,BENNELONG FNDS MLTD ,00000000,00,
557,BAF,BLUE SKY ALT ACCESS ,00000000,00,
558,BAH,BOJUN AGRICULTURE   ,30200000,30,Consumer Staples
559,BAL,BELLAMY'S AUSTRALIA ,30200000,30,Consumer Staples
560,BAM,BENTHAM ASSET MGT   ,00000000,00,
561,BAN,BASKET WARRANTS BANK,00000000,00,
562,BAO,BROOKFIELD AUST OPP ,40402000,40,Financials
563,BAP,BAPCOR LIMITED      ,25500000,25,Consumer Discretionary
564,BAR,BARRA RESOURCES     ,15104000,15,Materials
565,BAS,BASS OIL LTD        ,10100000,10,Energy
566,BAT,BATTERY MINERALS LTD,15104000,15,Materials
567,BAU,BAUXITE RESOURCE LTD,15104000,15,Materials
568,BAY,BAYROCKRESOURCES    ,15104000,15,Materials
569,BBA,BARIBUNMA HOLDINGS  ,99999999,99,N/A
570,BBC,BNK BANK CORP LTD   ,40100000,40,Financials
571,BBG,BILLABONG           ,25200000,25,Consumer Discretionary
572,BBL,BRISBANE BRONCOS    ,50200000,50,Communication Services
573,BBM,BIOMICS BIOPHARM LTD,99999999,99,N/A
574,BBN,BABY BUNTING GRP LTD,25500000,25,Consumer Discretionary
575,BBO,BETA AUST STR BEAR  ,00000000,00,
576,BBR,BORA BORA RESOURCES ,15104000,15,Materials
577,BBT,BLUEBET HOLDINGS LTD,25300000,25,Consumer Discretionary
578,BBU,BETA US STRONG BEAR ,00000000,00,
579,BBX,BBX MINERALS LTD    ,15104000,15,Materials
580,BC8,BLACK CAT SYNDICATE ,15104000,15,Materials
581,BCA,BLACK CANYON LIMITED,15104000,15,Materials
582,BCB,BOWEN COAL LIMITED  ,15104000,15,Materials
583,BCC,BEAM COMMUNICATIONS ,45200000,45,Information Technology
584,BCD,BCD RESOURCES NL    ,15104000,15,Materials
585,BCG,BLOCKCHAIN GLOBAL.  ,99999999,99,N/A
586,BCI,BCI MINERALS LTD    ,15104000,15,Materials
587,BCK,BROCKMAN MINING LTD ,15104000,15,Materials
588,BCL,BUNJI CORP LIMITED  ,10100000,10,Energy
589,BCN,BEACON MINERALS     ,15104000,15,Materials
590,BCS,BRISCONNECTION TRUST,20300000,20,Industrials
591,BCT,BLUECHIIP LIMITED   ,45200000,45,Information Technology
592,BD1,BARD1 LIFE SCIENCES ,35100000,35,Health Care
593,BDA,BOD AUSTRALIA       ,25500000,25,Consumer Discretionary
594,BDC,BARDOC GOLD LTD     ,15104000,15,Materials
595,BDE,BEIDA NEW ENERGY    ,00000000,00,
596,BDG,BLACK DRAGON GOLD   ,15104000,15,Materials
597,BDI,BLINA MINERALS NL   ,15104000,15,Materials
598,BDM,BURGUNDY D MINES LTD,15104000,15,Materials
599,BDR,BEADELL RESOURCE LTD,15104000,15,Materials
600,BDT,BIRDDOG             ,45200000,45,Information Technology
601,BDX,BCALDIAGNOSTICS     ,35200000,35,Health Care
602,BEA,BETASHARES AUST BEAR,00000000,00,
603,BEE,BROO LTD            ,30200000,30,Consumer Staples
604,BEG,BLUENERGY GROUP LTD ,15100000,15,Materials
605,BEL,BENTLEY CAPITAL LTD ,00000000,00,
606,BEM,BLACKEARTH MINERALS ,15104000,15,Materials
607,BEN,BENDIGO AND ADELAIDE,40100000,40,Financials
608,BET,BETMAKERS TECH GROUP,25300000,25,Consumer Discretionary
609,BEX,BIKEEXCHANGE LTD    ,25500000,25,Consumer Discretionary
610,BEZ,BESRAGOLDINC        ,15104000,15,Materials
611,BFC,BESTON GLOBAL LTD   ,30200000,30,Consumer Staples
612,BFG,BELL FINANCIAL GROUP,40200000,40,Financials
613,BFL,BSP FINANCIAL GROUP ,40100000,40,Financials
614,BG1,BARCLAYSPLC         ,99999999,99,N/A
615,BGA,BEGA CHEESE LTD     ,30200000,30,Consumer Staples
616,BGC,BRIDGE GLOBAL CAP   ,40200000,40,Financials
